Word,Count
*,7598
,5859
the,3484
to,1647
of,1187
is,1137
be,1131
a,1109
and,891
for,858
The,798
or,716
in,716
not,713
this,678
\brief,609
software,589
This,554
*<,539
on,507
\param,480
you,463
if,446
any,442
\sa,413
it,392
use,391
must,389
function,382
will,371
with,370
**,369
from,360
that,352
an,321
as,316
window,295
are,287
------------------------,285
-------------------------,278
set,271
--------------------------,269
If,263
-----------------------,256
0,250
can,248
SDL,243
event,232
\return,229
-,227
when,227
using,212
A,208
----------------------,207
by,201
source,200
should,187
Get,181
variable,181
may,180
following,176
device,172
data,172
used,172
effect,171
original,170
value,170
-1,168
but,168
audio,165
---------------------------,156
NULL,154
error,153
returns,143
C,140
without,140
---------------------,138
1,137
which,134
OR,134
no,134
current,133
In,130
number,127
C++,127
surface,126
at,125
pointer,124
Set,122
all,119
functions,119
--------------------,119
Copyright,114
being,112
notice,111
THE,107
joystick,106
file,106
\c,104
(C),104
documentation,104
provided,103
has,102
events,100
-------------------,99
including,99
would,98
product,97
required,97
removed,97
haptic,97
Permission,96
subject,96
2,95
size,95
OF,92
default,92
have,92
----------------------------,91
available,91
versions,91
Enable,90
up,90
renderer,89
texture,89
3,87
\such,\,86
\success,\,86
format,85
held,85
distribution,85
origin,84
warranty,83
Simple,83
library,83
mode,82
marked,82
wrote,81
misrepresented;,81
implied,81
before,81
anyone,81
appreciated,81
misrepresented,81
restrictions:,81
arising,81
redistribute,81
\freely,\,81
liable,81
commercial,81
authors,81
\applications,\,81
plainly,81
Altered,81
\purpose,\,81
claim,81
Layer,81
damages,81
altered,81
express,81
alter,81
\product,\,81
acknowledgment,81
\'as-is',\,81
granted,81
string,80
structure,80
Sam,79
Lantinga,79
<slouken@libsdl.org>,79
state,78
DirectMedia,77
called,75
mouse,74
given,74
\file,74
your,74
only,74
OpenGL,73
index,73
IN,72
type,71
rendering,71
definitions,69
button,69
1997-2018,67
supported,67
so,66
=,66
version,66
thread,66
even,65
\note,65
values,65
channel,65
application,64
name,64
support,64
pixel,64
------------------,63
//,62
hint,62
Returns,62
return,61
new,61
was,60
time,60
whether,59
\definitions,\,58
call,58
ts=4,58
vi:,58
You,58
code,58
sw=4,58
expandtab:,58
color,57
callback,57
Ends,56
system,56
extension,56
values:,55
valid,54
display,54
test,52
-----------------------------,52
defined,52
controller,51
\"\0"\\,51
\"\1"\\,51
driver,51
into,49
|,49
more,49
message,49
been,48
we,48
key,47
buffer,47
input,47
do,46
ANY,46
specific,45
ID,45
some,45
stream,45
context,45
there,44
opened,44
associated,44
other,44
after,44
copy,43
random,43
axis,43
Windows,43
otherwise,43
integer,42
same,42
alpha,42
boundary,41
keyboard,41
specified,41
sensor,41
filled,41
need,41
screen,39
its,39
@},39
\returns,39
between,39
@{,39
one,38
types,38
\window,\,38
flags,38
target,38
FOR,38
isn't,37
API,37
various,37
relative,37
information,37
\name,37
instance,37
instead,36
true,36
range,36
currently,36
text,36
Create,36
operations,35
pixels,35
bit,35
Vulkan,35
then,35
does,35
list,35
these,34
tokens,34
platform,34
/,34
controlling,34
they,34
first,34
For,34
signed,34
effects,34
change,34
NOT,33
These,33
bytes,33
video,33
output,33
above,33
created,33
path,33
don't,33
free,32
copies,32
SDL_FALSE,32
AND,32
drivers,32
rectangle,32
passed,32
also,32
queue,32
Khronos,32
enabled,31
----------------,31
them,31
and/or,31
create,30
included,30
unsigned,30
render,30
Materials,30
OTHER,30
run,30
get,30
OS,30
No,30
MATERIALS,30
SDL_TRUE,30
position,30
see,30
uses,29
direction,29
\0,\,29
\milliseconds,\,29
X,29
returned,29
like,29
out,29
mapping,29
query,28
files,28
channels,28
SDL_GetTicks(),28
start,28
On,28
possible,28
By,27
blend,27
------------------------------------------------------------------------*,27
where,27
*------------------------------------------------------------------------,27
Include,27
populated,27
x,27
about,26
playing,26
coordinates,26
#define,26
drawing,26
CPU,26
blit,26
rumble,25
memory,25
Function,25
features,25
main,25
(the,25
It,25
windows,25
parameters,25
might,25
always,25
what,25
area,25
lock,25
header,25
maximum,24
Android,24
y,24
user,24
end,24
font,24
point,24
two,24
length,24
SDL_FALSE),24
calling,24
UTF-8,24
id,24
iOS,23
Y,23
parameter,23
devices,23
app,23
\LIABILITY,\,23
BUT,23
An,23
while,23
messages,23
..,23
LIMITED,23
within,23
dependent,23
than,23
copyright,23
Mac,23
Haptic,23
it's,22
filter,22
samples,22
setting,22
case,22
||,22
axes,22
object,22
\use,\,22
condition,22
timer,22
want,22
height,21
through,21
------------------------------,21
right,21
ES,21
-----------------,21
here,21
left,21
introduced,21
extensions,21
internal,21
Return,21
generated,21
zero,21
last,21
Window,21
\,20
cursor,20
game,20
since,20
done,20
each,20
flag,20
doesn't,20
width,20
draw,20
music,20
such,20
playback,20
Joystick,20
COPYRIGHT,20
update,20
systems,20
focus,19
either,19
EVENT,19
BE,19
Use,19
controllers,19
WHETHER,19
rights,19
USE,19
LIABLE,19
SOFTWARE,19
PROVIDED,19
OUT,19
\"\AS\,19
SHALL,19
motion,19
NO,19
permission,19
macro,19
\CONTRACT,\,19
ARISING,19
entire,19
EXPRESS,19
static,19
FITNESS,19
PARTICULAR,19
initialized,19
load,19
atomic,19
needs,19
handle,19
byte,19
DAMAGES,19
resolution,19
PURPOSE,19
TORT,19
WARRANTIES,19
based,18
window's,18
both,18
limit,18
their,18
\library,\,18
invalid,18
coordinate,18
open,18
count,18
\NULL,\,18
just,18
enable,18
against,18
add,18
back,18
All,18
different,18
read,18
prototypes,18
loaded,18
\time,\,18
Software,18
next,18
\data,\,18
Audio,18
Header,18
32-bit,17
make,17
success,17
bits,17
Load,17
array,17
additional,17
Device,17
disabled,17
high,17
-------------------------------------------------------------------------,17
{,17
queried,17
log,17
boundaries,17
platforms,17
64,17
most,17
float,17
SIGN,17
defines,17
int,17
Duration,17
Pointer,17
usage,16
control,16
milliseconds,16
allocated,16
assertion,16
loading,16
force,16
already,16
preset,16
deal,16
limitation,16
headers,16
HOLDERS,16
HIDAPI,16
order,16
portions,16
validDomain,16
rectangles,16
storing,16
WinRT,16
generate,16
sure,16
shared,16
until,16
pass,16
containing,16
boundary1,16
sell,15
shall,15
\granted,\,15
assert,15
32,15
\merge,\,15
\endcode,15
WITH,15
whom,15
},15
CONNECTION,15
furnished,15
written,15
special,15
\so,\,15
\IMPLIED,\,15
destination,15
\FROM,\,15
person,15
level,15
conditions:,15
own,15
\publish,\,15
automatically,15
\CLAIM,\,15
\copy,\,15
When,15
NONINFRINGEMENT,15
specify,15
conversion,15
mask,15
:,15
WITHOUT,15
\code,15
\distribute,\,15
permit,15
Visual,15
part,15
link,15
hereby,15
power,15
\sublicense,\,15
AN,15
INCLUDING,15
$,15
DEALINGS,15
points,15
+,15
\restriction,\,15
\charge,\,15
obtaining,15
internally,15
substantial,15
ACTION,15
client,15
sound,15
\modify,\,15
\KIND,\,15
\IS"\,\,15
persons,15
Note:,15
WARRANTY,15
\MERCHANTABILITY,\,15
priority,15
\OTHERWISE,\,15
TO,15
handling,14
volume,14
could,14
compiler,14
conditions,14
fill,14
100,14
framework,14
joysticks,14
struct,14
Mouse,14
never,14
scaling,14
simple,14
play,14
clipping,14
still,14
Disable,14
capture,14
desired,14
Usage,14
native,14
etc,14
custom,14
sample,14
ARE,14
touch,14
can't,14
rect,14
modify,13
8,13
Note,13
mixer,13
SDL2_test,13
See,13
include,13
\set,\,13
mixed,13
layout,13
actual,13
multiple,13
positive,13
reserved,13
supports,13
common,13
Generated,13
minimum,13
note,13
#include,13
policy,13
linked,13
\effect,\,13
stop,13
Time,13
useful,13
fullscreen,13
\function,\,13
running,13
low,13
palette,13
mutex,12
safe,12
\surface,\,12
\a,12
previous,12
AUTHORS,12
threads,12
details,12
wave,12
negative,12
allow,12
changes,12
single,12
fade,12
queued,12
Level,12
Called,12
handled,12
Add,12
\mode,\,12
attack,12
compiled,12
take,12
blue,12
interval,12
avoid,12
USB,12
modes,12
\1,\,12
w,12
hardware,12
h,12
Inc,12
title,12
final,12
\20,\,12
prototype,12
fast,12
over,12
There,12
locked,12
app's,12
---------------,12
\name,\,12
blending,12
second,12
shaped,12
Should,12
Phone,12
below,12
boolean,12
max,12
category,11
waiting,11
Uint16,11
determine,11
found,11
EGL,11
raw,11
those,11
privacy,11
behavior,11
status,11
subsystem,11
triggered,11
reuse,11
page,11
green,11
look,11
red,11
Please,11
check,11
line,11
16-bit,11
acceleration,11
means,11
retrieved,11
access,11
Studio,11
Open,11
RGB,11
disable,11
runtime,11
Free,11
triggers,11
storage,11
Read,11
matching,11
write,11
sensors,11
!<,11
mixing,11
quality,11
local,11
Setting,11
because,11
255,11
contents,11
implementation,11
macros,11
per,11
freed,11
Game,11
GL,11
requested,11
implemented,11
failure,10
\devices,\,10
previously,10
handler,10
template,10
\value,\,10
SDL_Init(),10
manager,10
shape,10
