File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\GL\eglew.h,2619,1617,421,0,793,131,209,1449,76,660
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\GL\glew.h,23687,17894,6406,0,4871,809,922,5702,76,660
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\GL\glxew.h,1776,1145,390,0,480,74,151,1104,76,660
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\GL\wglew.h,1448,952,311,0,381,57,115,828,53,465
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\begin_code.h,168,117,0,0,13,10,38,338,28,196
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\close_code.h,38,7,0,0,4,1,27,186,26,172
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL.h,136,58,6,0,16,5,62,379,25,156
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_assert.h,292,126,28,3,32,16,134,959,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_atomic.h,278,78,20,0,30,3,170,1049,56,321
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_audio.h,827,176,70,0,61,31,590,4293,25,160
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_bits.h,113,53,23,11,15,1,45,267,25,156
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_blendmode.h,121,46,8,0,15,20,60,466,25,155
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_clipboard.h,72,15,4,0,13,1,44,243,25,155
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config.h,258,190,20,0,23,4,45,323,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_android.h,158,101,0,0,20,1,37,231,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_iphoneos.h,167,107,0,0,22,2,38,244,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_macosx.h,198,135,0,0,22,1,41,266,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_minimal.h,83,32,10,0,16,2,35,242,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_pandora.h,129,93,0,0,14,1,22,161,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_psp.h,145,89,0,0,23,1,33,221,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_windows.h,226,168,20,0,22,4,36,257,20,142
C:\Users\Arne Stenkrona\Source\Repos\Prototype\Prototype\Prototype\include\SDL\SDL_config_winrt.h,216,146,20,0,22,4,48,355,20,142
